feature,importance
시장확률,0.25495976
단승배당,0.1395443
배당순위,0.050813675
연승배당,0.037198145
최근5전_복승률,0.027554927
최근5전_평균착순,0.015945949
최근10전_승률,0.015781265
연령_num,0.015630167
최근3전_평균착순,0.015313188
체중순위,0.015137856
기수_누적승률,0.014950198
성별_enc,0.0148854945
조교사_누적승률,0.014845662
통산_승률,0.014758043
최근3전_평균기록,0.01466621
콤비_승률,0.014642867
콤비_출주수,0.014295007
거리별_출주수,0.014234693
통산_출주수,0.0140849985
별정_enc,0.014051564
최근5전_승률,0.0140287
휴양일수,0.013978279
체중_3회이동평균,0.013900617
함수율,0.013886469
최근_경주기록,0.013879226
기수_누적출주,0.013865062
마체중,0.013809189
산지_enc,0.013733053
체중_트렌드,0.013715092
마체중증감,0.013476447
부담중량,0.013430984
출전두수,0.0134218605
최근3전_G3F,0.013347298
주로상태_enc,0.013265785
등급_ord,0.0132526355
거리별_승률,0.012773956
경주번호,0.012687334
거리_num,0.012230077
날씨_enc,0.0122246025
장구_count,0.011799319
